onset	duration	parametric_modulation	regressor	description
16.03	0.92825	1	1	HV Go
31.016	0.92825	1	1	HV Go
37.017	0.92825	1	1	HV Go
46.018	0.92825	1	1	HV Go
49.019	0.92825	1	1	HV Go
84.025	0.92825	1	1	HV Go
96.027	0.92825	1	1	HV Go
107.03	0.92825	1	1	HV Go
113.02	0.92825	1	1	HV Go
126.02	0.92825	1	1	HV Go
147.02	0.92825	1	1	HV Go
154.02	0.92825	1	1	HV Go
169.02	0.92825	1	1	HV Go
172.02	0.92825	1	1	HV Go
16.03	0.92825	0.1131	2	HV Go - by choice
31.016	0.92825	-0.55357	2	HV Go - by choice
37.017	0.92825	0.19643	2	HV Go - by choice
46.018	0.92825	0.19643	2	HV Go - by choice
49.019	0.92825	0.19643	2	HV Go - by choice
84.025	0.92825	0.1131	2	HV Go - by choice
96.027	0.92825	0.19643	2	HV Go - by choice
107.03	0.92825	0.19643	2	HV Go - by choice
113.02	0.92825	0.1131	2	HV Go - by choice
126.02	0.92825	-0.55357	2	HV Go - by choice
147.02	0.92825	0.1131	2	HV Go - by choice
154.02	0.92825	0.19643	2	HV Go - by choice
169.02	0.92825	0.1131	2	HV Go - by choice
172.02	0.92825	-0.6369	2	HV Go - by choice
16.03	0.92825	0.08	3	HV Go - by value diff
31.016	0.92825	0.02	3	HV Go - by value diff
37.017	0.92825	-0.02	3	HV Go - by value diff
46.018	0.92825	0.04	3	HV Go - by value diff
49.019	0.92825	0.11	3	HV Go - by value diff
84.025	0.92825	0.04	3	HV Go - by value diff
96.027	0.92825	0.05	3	HV Go - by value diff
107.03	0.92825	0.05	3	HV Go - by value diff
113.02	0.92825	0.1	3	HV Go - by value diff
126.02	0.92825	-0.11	3	HV Go - by value diff
147.02	0.92825	0.04	3	HV Go - by value diff
154.02	0.92825	-0.05	3	HV Go - by value diff
169.02	0.92825	0.01	3	HV Go - by value diff
172.02	0.92825	0.01	3	HV Go - by value diff
13.029	0.92825	1	4	HV NoGo
64.022	0.92825	1	4	HV NoGo
140.02	0.92825	1	4	HV NoGo
151.02	0.92825	1	4	HV NoGo
13.029	0.92825	0.125	5	HV NoGo - by choice
64.022	0.92825	0.041667	5	HV NoGo - by choice
140.02	0.92825	-0.29167	5	HV NoGo - by choice
151.02	0.92825	0.125	5	HV NoGo - by choice
13.029	0.92825	0.07	6	HV NoGo - by value diff
64.022	0.92825	0.12	6	HV NoGo - by value diff
140.02	0.92825	-0.07	6	HV NoGo - by value diff
151.02	0.92825	0.05	6	HV NoGo - by value diff
13.029	0.92825	-0.12459	7	HV - by RT
16.03	0.92825	0.0067567	7	HV - by RT
31.016	0.92825	-0.10023	7	HV - by RT
37.017	0.92825	-0.22123	7	HV - by RT
