onset	duration	parametric_modulation	regressor	description
13.03	2	1	1	HV Go
21.032	2	1	1	HV Go
60.031	2	1	1	HV Go
76.031	2	1	1	HV Go
131.03	2	1	1	HV Go
161.03	2	1	1	HV Go
2.1636	2	1	2	HV NoGo
16.031	2	1	2	HV NoGo
65.031	2	1	2	HV NoGo
94.032	2	1	2	HV NoGo
147.03	2	1	2	HV NoGo
152.02	2	1	2	HV NoGo
9.0304	2	1	3	LV Go
27.031	2	1	3	LV Go
34.031	2	1	3	LV Go
48.031	2	1	3	LV Go
88.031	2	1	3	LV Go
105.03	2	1	3	LV Go
5.0303	2	1	4	LV NoGo
44.031	2	1	4	LV NoGo
54.031	2	1	4	LV NoGo
80.031	2	1	4	LV NoGo
91.032	2	1	4	LV NoGo
100.03	2	1	4	LV NoGo
37.031	2	1	5	HV Neutral
68.031	2	1	5	HV Neutral
83.031	2	1	5	HV Neutral
119.02	2	1	5	HV Neutral
128.03	2	1	5	HV Neutral
136.03	2	1	5	HV Neutral
30.031	2	1	6	LV Neutral
72.031	2	1	6	LV Neutral
110.03	2	1	6	LV Neutral
115.03	2	1	6	LV Neutral
139.03	2	1	6	LV Neutral
156.03	2	1	6	LV Neutral
57.031	2	1	7	HV Sanity
97.032	2	1	7	HV Sanity
122.03	2	1	8	LV Sanity
125.03	2	1	8	LV Sanity
13.03	2	0.22222	9	HV Go - by choice
21.032	2	0.13889	9	HV Go - by choice
60.031	2	0.055556	9	HV Go - by choice
76.031	2	-0.11111	9	HV Go - by choice
131.03	2	-0.11111	9	HV Go - by choice
161.03	2	-0.19444	9	HV Go - by choice
2.1636	2	0.11111	10	HV NoGo - by choice
16.031	2	-0.38889	10	HV NoGo - by choice
65.031	2	-0.22222	10	HV NoGo - by choice
94.032	2	0.11111	10	HV NoGo - by choice
147.03	2	0.19444	10	HV NoGo - by choice
152.02	2	0.19444	10	HV NoGo - by choice
9.0304	2	0.30556	11	LV Go - by choice
27.031	2	0.33889	11	LV Go - by choice
34.031	2	-0.41111	11	LV Go - by choice
48.031	2	-0.32778	11	LV Go - by choice
88.031	2	0.088889	11	LV Go - by choice
105.03	2	0.0055556	11	LV Go - by choice
5.0303	2	0.38763	12	LV NoGo - by choice
44.031	2	0.1149	12	LV NoGo - by choice
54.031	2	-0.3548	12	LV NoGo - by choice
80.031	2	-0.1048	12	LV NoGo - by choice
91.032	2	-0.021465	12	LV NoGo - by choice
100.03	2	-0.021465	12	LV NoGo - by choice
2.1636	2	0.29938	13	All - by value
5.0303	2	-0.23605	13	All - by value
9.0304	2	-0.15264	13	All - by value
13.03	2	0.17	13	All - by value
16.031	2	0.17683	13	All - by value
21.032	2	0.25342	13	All - by value
27.031	2	-0.16484	13	All - by value
30.031	2	-0.36987	13	All - by value
34.031	2	-0.22059	13	All - by value
37.031	2	0.062105	13	All - by value
44.031	2	-0.16093	13	All - by value
48.031	2	-0.12142	13	All - by value
54.031	2	-0.20523	13	All - by value
57.031	2	0.30492	13	All - by value
60.031	2	0.14506	13	All - by value
65.031	2	0.18529	13	All - by value
68.031	2	0.34309	13	All - by value
72.031	2	-0.37036	13	All - by value
76.031	2	0.29125	13	All - by value
80.031	2	-0.24466	13	All - by value
83.031	2	0.087263	13	All - by value
88.031	2	-0.25719	13	All - by value
91.032	2	-0.14163	13	All - by value
94.032	2	0.10894	13	All - by value
97.032	2	0.32216	13	All - by value
100.03	2	-0.13278	13	All - by value
105.03	2	-0.19626	13	All - by value
110.03	2	-0.11298	13	All - by value
115.03	2	-0.10539	13	All - by value
119.02	2	0.077854	13	All - by value
122.03	2	-0.26836	13	All - by value
125.03	2	-0.34425	13	All - by value
128.03	2	0.072433	13	All - by value
131.03	2	0.1486	13	All - by value
136.03	2	0.35025	13	All - by value
139.03	2	-0.091151	13	All - by value
147.03	2	0.1566	13	All - by value
152.02	2	0.22409	13	All - by value
156.03	2	-0.070561	13	All - by value
161.03	2	0.18762	13	All - by value
