onset	duration	parametric_modulation	regressor	description
15.435	1	1	1	HV Go
28.436	1	1	1	HV Go
47.438	1	1	1	HV Go
54.439	1	1	1	HV Go
97.437	1	1	1	HV Go
122.44	1	1	1	HV Go
124.25	1	1	1	HV Go
143.25	1	1	1	HV Go
162.25	1	1	1	HV Go
182.24	1	1	1	HV Go
186.25	1	1	1	HV Go
206.25	1	1	1	HV Go
15.435	1	-0.027778	2	HV Go - by choice
28.436	1	0.30556	2	HV Go - by choice
47.438	1	-0.027778	2	HV Go - by choice
54.439	1	-0.11111	2	HV Go - by choice
97.437	1	-0.36111	2	HV Go - by choice
122.44	1	0.22222	2	HV Go - by choice
124.25	1	0.30556	2	HV Go - by choice
143.25	1	-0.11111	2	HV Go - by choice
162.25	1	0.22222	2	HV Go - by choice
182.24	1	-0.36111	2	HV Go - by choice
186.25	1	-0.027778	2	HV Go - by choice
206.25	1	-0.027778	2	HV Go - by choice
15.435	1	0.04	3	HV Go - by value
28.436	1	0.05	3	HV Go - by value
47.438	1	-0.03	3	HV Go - by value
54.439	1	-0.05	3	HV Go - by value
97.437	1	0.01	3	HV Go - by value
122.44	1	-0.02	3	HV Go - by value
124.25	1	0.05	3	HV Go - by value
143.25	1	-0.05	3	HV Go - by value
162.25	1	-0.02	3	HV Go - by value
182.24	1	0.01	3	HV Go - by value
186.25	1	0.04	3	HV Go - by value
206.25	1	-0.03	3	HV Go - by value
15.435	1	-0.098742	4	HV Go - by GSD
28.436	1	-0.085742	4	HV Go - by GSD
47.438	1	-0.06674	4	HV Go - by GSD
54.439	1	-0.059739	4	HV Go - by GSD
97.437	1	-0.016741	4	HV Go - by GSD
122.44	1	0.0082596	4	HV Go - by GSD
124.25	1	0.010076	4	HV Go - by GSD
143.25	1	0.029077	4	HV Go - by GSD
162.25	1	0.048077	4	HV Go - by GSD
182.24	1	0.068067	4	HV Go - by GSD
186.25	1	0.072068	4	HV Go - by GSD
206.25	1	0.092078	4	HV Go - by GSD
21.435	1	1	5	LV Go
30.436	1	1	5	LV Go
45.437	1	1	5	LV Go
65.441	1	1	5	LV Go
99.437	1	1	5	LV Go
119.44	1	1	5	LV Go
141.25	1	1	5	LV Go
146.25	1	1	5	LV Go
173.25	1	1	5	LV Go
194.25	1	1	5	LV Go
210.25	1	1	5	LV Go
232.25	1	1	5	LV Go
21.435	1	0.041162	6	LV Go - by choice
30.436	1	0.094192	6	LV Go - by choice
45.437	1	-0.20884	6	LV Go - by choice
65.441	1	0.37449	6	LV Go - by choice
99.437	1	-0.34217	6	LV Go - by choice
119.44	1	0.041162	6	LV Go - by choice
141.25	1	0.37449	6	LV Go - by choice
146.25	1	0.094192	6	LV Go - by choice
173.25	1	0.041162	6	LV Go - by choice
194.25	1	-0.20884	6	LV Go - by choice
210.25	1	0.041162	6	LV Go - by choice
232.25	1	-0.34217	6	LV Go - by choice
21.435	1	-0.03	7	LV Go - by value
30.436	1	5.5511e-17	7	LV Go - by value
45.437	1	0.08	7	LV Go - by value
65.441	1	0.02	7	LV Go - by value
99.437	1	5.5511e-17	7	LV Go - by value
119.44	1	-0.07	7	LV Go - by value
141.25	1	0.02	7	LV Go - by value
146.25	1	5.5511e-17	7	LV Go - by value
173.25	1	-0.07	7	LV Go - by value
194.25	1	0.08	7	LV Go - by value
210.25	1	-0.03	7	LV Go - by value
232.25	1	5.5511e-17	7	LV Go - by value
21.435	1	-0.0083292	8	LV Go - by GSD
30.436	1	0.0083308	8	LV Go - by GSD
45.437	1	0.0083308	8	LV Go - by GSD
65.441	1	-0.024999	8	LV Go - by GSD
99.437	1	-0.0083292	8	LV Go - by GSD
119.44	1	-0.0083292	8	LV Go - by GSD
141.25	1	0.025001	8	LV Go - by GSD
146.25	1	0.041661	8	LV Go - by GSD
173.25	1	0.058331	8	LV Go - by GSD
194.25	1	-0.041669	8	LV Go - by GSD
210.25	1	-0.024999	8	LV Go - by GSD
232.25	1	-0.024999	8	LV Go - by GSD
2.4464	1	1	9	HV NoGo
8.4353	1	1	9	HV NoGo
17.435	1	1	9	HV NoGo
51.438	1	1	9	HV NoGo
88.437	1	1	9	HV NoGo
102.44	1	1	9	HV NoGo
149.25	1	1	9	HV NoGo
158.25	1	1	9	HV NoGo
171.25	1	1	9	HV NoGo
184.24	1	1	9	HV NoGo
220.25	1	1	9	HV NoGo
237.25	1	1	9	HV NoGo
