onset	duration	parametric_modulation	regressor	description
16.399	1	1	1	HV Go
19.399	1	1	1	HV Go
24.4	1	1	1	HV Go
47.404	1	1	1	HV Go
49.404	1	1	1	HV Go
88.395	1	1	1	HV Go
144.17	1	1	1	HV Go
166.17	1	1	1	HV Go
177.16	1	1	1	HV Go
210.17	1	1	1	HV Go
224.17	1	1	1	HV Go
234.17	1	1	1	HV Go
16.399	1	0.26136	2	HV Go - by choice
19.399	1	-0.48864	2	HV Go - by choice
24.4	1	-0.07197	2	HV Go - by choice
47.404	1	0.064394	2	HV Go - by choice
49.404	1	-0.026515	2	HV Go - by choice
88.395	1	0.26136	2	HV Go - by choice
144.17	1	0.064394	2	HV Go - by choice
166.17	1	0.26136	2	HV Go - by choice
177.16	1	-0.026515	2	HV Go - by choice
210.17	1	-0.48864	2	HV Go - by choice
224.17	1	0.26136	2	HV Go - by choice
234.17	1	-0.07197	2	HV Go - by choice
16.399	1	0.036667	3	HV Go - by value
19.399	1	-0.013333	3	HV Go - by value
24.4	1	-0.013333	3	HV Go - by value
47.404	1	-0.0033333	3	HV Go - by value
49.404	1	-0.063333	3	HV Go - by value
88.395	1	0.056667	3	HV Go - by value
144.17	1	-0.0033333	3	HV Go - by value
166.17	1	0.036667	3	HV Go - by value
177.16	1	-0.063333	3	HV Go - by value
210.17	1	-0.013333	3	HV Go - by value
224.17	1	0.056667	3	HV Go - by value
234.17	1	-0.013333	3	HV Go - by value
16.399	1	-0.10039	4	HV Go - by GSD
19.399	1	-0.097385	4	HV Go - by GSD
24.4	1	-0.092384	4	HV Go - by GSD
47.404	1	-0.06938	4	HV Go - by GSD
49.404	1	-0.06738	4	HV Go - by GSD
88.395	1	-0.02839	4	HV Go - by GSD
144.17	1	0.027387	4	HV Go - by GSD
166.17	1	0.049391	4	HV Go - by GSD
177.16	1	0.060377	4	HV Go - by GSD
210.17	1	0.093382	4	HV Go - by GSD
224.17	1	0.10738	4	HV Go - by GSD
234.17	1	0.11739	4	HV Go - by GSD
34.402	1	1	5	LV Go
55.393	1	1	5	LV Go
57.393	1	1	5	LV Go
68.393	1	1	5	LV Go
78.394	1	1	5	LV Go
98.396	1	1	5	LV Go
124.18	1	1	5	LV Go
169.18	1	1	5	LV Go
197.16	1	1	5	LV Go
199.16	1	1	5	LV Go
201.16	1	1	5	LV Go
228.17	1	1	5	LV Go
34.402	1	-0.11818	6	LV Go - by choice
55.393	1	0.18182	6	LV Go - by choice
57.393	1	0.048485	6	LV Go - by choice
68.393	1	0.13182	6	LV Go - by choice
78.394	1	-0.53485	6	LV Go - by choice
98.396	1	0.29091	6	LV Go - by choice
124.18	1	0.18182	6	LV Go - by choice
169.18	1	0.29091	6	LV Go - by choice
197.16	1	0.048485	6	LV Go - by choice
199.16	1	0.13182	6	LV Go - by choice
201.16	1	-0.11818	6	LV Go - by choice
228.17	1	-0.53485	6	LV Go - by choice
34.402	1	0.035	7	LV Go - by value
55.393	1	0.045	7	LV Go - by value
57.393	1	0.035	7	LV Go - by value
68.393	1	-0.035	7	LV Go - by value
78.394	1	-0.045	7	LV Go - by value
98.396	1	-0.035	7	LV Go - by value
124.18	1	0.045	7	LV Go - by value
169.18	1	-0.035	7	LV Go - by value
197.16	1	0.035	7	LV Go - by value
199.16	1	-0.035	7	LV Go - by value
201.16	1	0.035	7	LV Go - by value
228.17	1	-0.045	7	LV Go - by value
34.402	1	0.026385	8	LV Go - by GSD
55.393	1	-0.006945	8	LV Go - by GSD
57.393	1	-0.006945	8	LV Go - by GSD
68.393	1	-0.006945	8	LV Go - by GSD
78.394	1	-0.006945	8	LV Go - by GSD
98.396	1	0.009725	8	LV Go - by GSD
124.18	1	0.009725	8	LV Go - by GSD
169.18	1	0.043055	8	LV Go - by GSD
197.16	1	-0.006945	8	LV Go - by GSD
199.16	1	-0.006945	8	LV Go - by GSD
201.16	1	-0.006945	8	LV Go - by GSD
228.17	1	-0.040275	8	LV Go - by GSD
2.4094	1	1	9	HV NoGo
27.401	1	1	9	HV NoGo
53.405	1	1	9	HV NoGo
62.393	1	1	9	HV NoGo
72.394	1	1	9	HV NoGo
105.4	1	1	9	HV NoGo
137.17	1	1	9	HV NoGo
163.17	1	1	9	HV NoGo
192.16	1	1	9	HV NoGo
212.17	1	1	9	HV NoGo
216.17	1	1	9	HV NoGo
244.17	1	1	9	HV NoGo
2.4094	1	0.20202	10	HV NoGo - by choice
27.401	1	0.14899	10	HV NoGo - by choice
53.405	1	0.20202	10	HV NoGo - by choice
62.393	1	-0.35101	10	HV NoGo - by choice
72.394	1	-0.10101	10	HV NoGo - by choice
105.4	1	-0.10101	10	HV NoGo - by choice
137.17	1	-0.35101	10	HV NoGo - by choice
163.17	1	0.20202	10	HV NoGo - by choice
192.16	1	0.20202	10	HV NoGo - by choice
212.17	1	-0.10101	10	HV NoGo - by choice
216.17	1	0.14899	10	HV NoGo - by choice
244.17	1	-0.10101	10	HV NoGo - by choice
2.4094	1	0.051667	11	HV NoGo - by value
27.401	1	-0.048333	11	HV NoGo - by value
53.405	1	-0.058333	11	HV NoGo - by value
62.393	1	-0.018333	11	HV NoGo - by value
72.394	1	0.051667	11	HV NoGo - by value
105.4	1	0.021667	11	HV NoGo - by value
137.17	1	-0.018333	11	HV NoGo - by value
163.17	1	-0.058333	11	HV NoGo - by value
192.16	1	0.051667	11	HV NoGo - by value
212.17	1	0.021667	11	HV NoGo - by value
216.17	1	-0.048333	11	HV NoGo - by value
244.17	1	0.051667	11	HV NoGo - by value
5.3967	1	1	12	LV NoGo
36.402	1	1	12	LV NoGo
82.394	1	1	12	LV NoGo
84.394	1	1	12	LV NoGo
92.395	1	1	12	LV NoGo
112.4	1	1	12	LV NoGo
157.17	1	1	12	LV NoGo
173.18	1	1	12	LV NoGo
190.16	1	1	12	LV NoGo
208.17	1	1	12	LV NoGo
230.17	1	1	12	LV NoGo
5.3967	1	0.50138	13	LV NoGo - by choice
36.402	1	-0.10771	13	LV NoGo - by choice
82.394	1	-0.20771	13	LV NoGo - by choice
84.394	1	0.0089532	13	LV NoGo - by choice
92.395	1	-0.0077135	13	LV NoGo - by choice
112.4	1	-0.24105	13	LV NoGo - by choice
157.17	1	-0.0077135	13	LV NoGo - by choice
